Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
81,OH4RUC,434.75000,-,2,,88.5,88.5,023,NN,,25.00,,"Mikkeli DMR",,,
82,OH4RUC,434.75000,-,2,,88.5,88.5,023,NN,FM,25.00,,"Mikkeli FM",,,
83,OH5DMRA,434.52500,-,2,,88.5,88.5,023,NN,4FSK,25.00,,"Imatra DMR",,,
84,OH5RUA,434.56250,-,2,,88.5,88.5,023,NN,4FSK,25.00,,"Kotka DMR",,,
85,OH5RUG,434.58750,-,2,,88.5,88.5,023,NN,4FSK,25.00,,"Kouvola DMR",,,
86,OH5RUG,434.62500,-,2,Tone,114.8,114.8,023,NN,FM,25.00,,"Kouvola ",,,
87,OH5RUM,434.92500,-,2,,88.5,88.5,023,NN,FM,25.00,,"Hamina",,,
88,OH6RAH,434.67500,-,2,,88.5,88.5,023,NN,FM / C4FM,25.00,,"Seinäjoki",,,
89,OH6RUC,434.90000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Kaustinen",,,
90,OH6RUE,434.56250,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Viitasaari DMR",,,
91,OH6RUG,434.70000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Jakobstad / Pietarsaari",,,
92,OH6RUH,434.51250,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Äänekoski  DMR",,,
93,OH6RUJ,434.53750,-,2,,88.5,88.5,023,NN,,25.00,,"Jyväskylä DMR",,,
94,OH6RUJ,434.65000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Jyväskylä Laajavuori",,,
95,OH6RUP,434.92500,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Teuva",,,
96,OH6RUQ,434.70000,-,2,,88.5,88.5,023,NN,FM,25.00,,"Jämsänkoski",,,
97,OH6RUR,434.80000,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Närpiö",,,
98,OH6RUS,434.56250,-,2,,88.5,88.5,023,NN,,25.00,,"Jämsä DMR",,,
99,OH6RUT,434.87500,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Kauhajoki",,,
100,OH6RUW,434.80000,-,2,Tone,110.9,110.9,023,NN,FM,25.00,,"Kokkola",,,
101,OH7DMR,434.51250,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Joensuu DMR",,,
102,OH7RAA,434.58750,-,2,,88.5,88.5,023,NN,,25.00,,"Kuopio DMR",,,
103,OH7RUI,434.75000,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Iisalmi",,,
104,OH8RMD,434.57500,-,2,,88.5,88.5,023,NN,DMR,25.00,,"Oulu DMR",,,
105,OH8RUA,434.75000,-,2,,88.5,88.5,023,NN,FM,25.00,,"Oulu",,,
106,OH8RUB,434.67500,-,2,,88.5,88.5,023,NN,FM,25.00,,"Kajaani",,,
107,OH9RUB,434.70000,-,2,,88.5,88.5,023,NN,FM,25.00,,"Rovaniemi",,,
108,OH9RUT,434.65000,-,1.6,,88.5,88.5,023,NN,FM,25.00,,"Yllästunturi",,,
109,OI5RUC,434.82500,-,2,Tone,114.8,114.8,023,NN,FM,25.00,,"Kouvola Vekaranjärvi",,,
